"season","total","weight"
"1967",0,126
"1967",0,129
"1967",0,132
"1967",0,135
"1967",0,138
"1967",0,141
"1967",0,144
"1967",0,147
"1967",0,150
"1967",0,153
"1967",0,156
"1967",0,159
"1967",0,162
"1968",0,60
"1968",0,63
"1968",0,66
"1968",0,69
"1968",1,72
"1968",2,75
"1968",10,78
"1968",21,81
"1968",16,84
"1968",13,87
"1968",19,90
"1968",23,93
"1968",16,96
"1968",13,99
"1968",28,102
"1968",6,105
"1968",7,108
"1968",1,111
"1968",0,114
"1968",0,117
"1968",0,120
"1968",1,123
"1968",0,126
"1968",0,129
"1968",0,132
"1968",0,135
"1968",0,138
"1968",0,141
"1968",0,144
"1968",0,147
"1968",0,150
"1968",0,153
"1968",0,156
"1968",0,159
"1968",0,162
"1969",0,60
"1969",0,63
"1969",0,66
"1969",0,69
"1969",0,72
"1969",2,75
"1969",11,78
"1969",23,81
"1969",12,84
"1969",16,87
"1969",22,90
"1969",25,93
"1969",20,96
"1969",22,99
"1969",32,102
"1969",8,105
"1969",6,108
"1969",5,111
"1969",0,114
"1969",0,117
"1969",1,120
"1969",1,123
"1969",0,126
"1969",0,129
"1969",0,132
"1969",0,135
"1969",0,138
"1969",0,141
"1969",0,144
"1969",0,147
"1969",0,150
"1969",0,153
"1969",0,156
"1969",0,159
"1969",0,162
"1970",0,60
"1970",0,63
"1970",0,66
"1970",0,69
"1970",0,72
"1970",2,75
"1970",17,78
"1970",27,81
"1970",14,84
"1970",15,87
"1970",18,90
"1970",29,93
"1970",20,96
"1970",15,99
"1970",29,102
"1970",5,105
"1970",5,108
"1970",3,111
"1970",0,114
"1970",0,117
"1970",1,120
"1970",1,123
"1970",0,126
"1970",0,129
"1970",0,132
"1970",0,135
"1970",0,138
"1970",0,141
"1970",0,144
"1970",0,147
"1970",0,150
"1970",0,153
"1970",0,156
"1970",0,159
"1970",0,162
"1971",0,60
"1971",0,63
"1971",1,66
"1971",0,69
"1971",2,72
"1971",3,75
"1971",17,78
"1971",26,81
"1971",20,84
"1971",15,87
"1971",30,90
"1971",29,93
"1971",23,96
"1971",24,99
"1971",32,102
"1971",9,105
"1971",7,108
"1971",4,111
"1971",1,114
"1971",0,117
"1971",1,120
"1971",1,123
"1971",0,126
"1971",0,129
"1971",0,132
"1971",0,135
"1971",0,138
"1971",0,141
"1971",0,144
"1971",0,147
"1971",0,150
"1971",0,153
"1971",0,156
"1971",0,159
"1971",0,162
"1972",0,60
"1972",0,63
"1972",1,66
"1972",0,69
"1972",2,72
"1972",4,75
"1972",18,78
"1972",41,81
"1972",22,84
"1972",17,87
"1972",25,90
"1972",24,93
"1972",19,96
"1972",29,99
"1972",42,102
"1972",8,105
"1972",6,108
"1972",4,111
"1972",1,114
"1972",0,117
"1972",1,120
"1972",1,123
"1972",0,126
"1972",0,129
"1972",0,132
"1972",0,135
"1972",0,138
"1972",0,141
"1972",0,144
"1972",0,147
"1972",0,150
"1972",0,153
"1972",0,156
"1972",0,159
"1972",0,162
"1973",0,60
"1973",0,63
"1973",1,66
"1973",0,69
"1973",5,72
"1973",4,75
"1973",13,78
"1973",33,81
"1973",14,84
"1973",24,87
"1973",26,90
"1973",34,93
"1973",20,96
"1973",30,99
"1973",43,102
"1973",11,105
"1973",2,108
"1973",6,111
"1973",1,114
"1973",0,117
"1973",1,120
"1973",1,123
"1973",0,126
"1973",0,129
"1973",0,132
"1973",0,135
"1973",0,138
"1973",0,141
"1973",0,144
"1973",0,147
"1973",0,150
"1973",0,153
"1973",0,156
"1973",0,159
"1973",0,162
"1974",0,60
"1974",0,63
"1974",1,66
"1974",0,69
"1974",3,72
"1974",3,75
"1974",12,78
"1974",41,81
"1974",15,84
"1974",28,87
"1974",26,90
"1974",28,93
"1974",15,96
"1974",21,99
"1974",34,102
"1974",8,105
"1974",2,108
"1974",6,111
"1974",1,114
"1974",0,117
"1974",1,120
"1974",0,123
"1974",0,126
"1974",0,129
"1974",0,132
"1974",0,135
"1974",0,138
"1974",0,141
"1974",0,144
"1974",0,147
"1974",0,150
"1974",0,153
"1974",0,156
"1974",0,159
"1974",0,162
"1975",0,60
"1975",0,63
"1975",1,66
"1975",0,69
"1975",3,72
"1975",4,75
"1975",20,78
"1975",40,81
"1975",22,84
"1975",22,87
"1975",30,90
"1975",38,93
"1975",19,96
"1975",24,99
"1975",34,102
"1975",9,105
"1975",3,108
"1975",6,111
"1975",0,114
"1975",0,117
"1975",1,120
"1975",0,123
"1975",0,126
"1975",0,129
"1975",0,132
"1975",0,135
"1975",0,138
"1975",0,141
"1975",0,144
"1975",0,147
"1975",0,150
"1975",0,153
"1975",0,156
"1975",0,159
"1975",0,162
"1976",0,60
"1976",0,63
"1976",1,66
"1976",0,69
"1976",2,72
"1976",5,75
"1976",13,78
"1976",41,81
"1976",21,84
"1976",21,87
"1976",40,90
"1976",29,93
"1976",23,96
"1976",22,99
"1976",34,102
"1976",14,105
"1976",1,108
"1976",6,111
"1976",0,114
"1976",0,117
"1976",1,120
"1976",0,123
"1976",0,126
"1976",0,129
"1976",0,132
"1976",0,135
"1976",0,138
"1976",0,141
"1976",0,144
"1976",0,147
"1976",0,150
"1976",0,153
"1976",0,156
"1976",0,159
"1976",0,162
"1977",0,60
"1977",0,63
"1977",2,66
"1977",0,69
"1977",12,72
"1977",10,75
"1977",13,78
"1977",55,81
"1977",30,84
"1977",30,87
"1977",44,90
"1977",32,93
"1977",34,96
"1977",29,99
"1977",36,102
"1977",13,105
"1977",7,108
"1977",9,111
"1977",0,114
"1977",0,117
"1977",1,120
"1977",0,123
"1977",0,126
"1977",0,129
"1977",0,132
"1977",0,135
"1977",0,138
"1977",0,141
"1977",0,144
"1977",0,147
"1977",0,150
"1977",0,153
"1977",0,156
"1977",0,159
"1977",0,162
"1978",0,60
"1978",0,63
"1978",0,66
"1978",0,69
"1978",8,72
"1978",19,75
"1978",16,78
"1978",62,81
"1978",29,84
"1978",25,87
"1978",40,90
"1978",34,93
"1978",43,96
"1978",25,99
"1978",43,102
"1978",21,105
"1978",3,108
"1978",5,111
"1978",0,114
"1978",0,117
"1978",1,120
"1978",0,123
"1978",0,126
"1978",0,129
"1978",0,132
"1978",0,135
"1978",0,138
"1978",0,141
"1978",0,144
"1978",0,147
"1978",0,150
"1978",0,153
"1978",0,156
"1978",0,159
"1978",0,162
"1979",0,60
"1979",0,63
"1979",1,66
"1979",0,69
"1979",8,72
"1979",12,75
"1979",17,78
"1979",56,81
"1979",32,84
"1979",23,87
"1979",40,90
"1979",25,93
"1979",35,96
"1979",24,99
"1979",45,102
"1979",14,105
"1979",4,108
"1979",7,111
"1979",0,114
"1979",0,117
"1979",0,120
"1979",0,123
"1979",1,126
"1979",0,129
"1979",0,132
"1979",0,135
"1979",0,138
"1979",0,141
"1979",0,144
"1979",0,147
"1979",0,150
