"season","total","height"
"1971",57,201
"1971",26,204
"1971",18,207
"1971",6,210
"1971",3,213
"1971",3,216
"1971",0,219
"1971",0,222
"1971",0,225
"1971",0,228
"1971",0,231
"1972",0,159
"1972",0,162
"1972",0,165
"1972",0,168
"1972",0,171
"1972",1,174
"1972",0,177
"1972",2,180
"1972",10,183
"1972",17,186
"1972",42,189
"1972",18,192
"1972",39,195
"1972",22,198
"1972",54,201
"1972",24,204
"1972",20,207
"1972",6,210
"1972",6,213
"1972",4,216
"1972",0,219
"1972",0,222
"1972",0,225
"1972",0,228
"1972",0,231
"1973",0,159
"1973",0,162
"1973",0,165
"1973",0,168
"1973",0,171
"1973",1,174
"1973",0,177
"1973",0,180
"1973",17,183
"1973",19,186
"1973",26,189
"1973",15,192
"1973",39,195
"1973",27,198
"1973",60,201
"1973",24,204
"1973",21,207
"1973",11,210
"1973",7,213
"1973",2,216
"1973",0,219
"1973",0,222
"1973",0,225
"1973",0,228
"1973",0,231
"1974",0,159
"1974",0,162
"1974",0,165
"1974",0,168
"1974",0,171
"1974",1,174
"1974",0,177
"1974",0,180
"1974",16,183
"1974",17,186
"1974",34,189
"1974",13,192
"1974",31,195
"1974",21,198
"1974",53,201
"1974",22,204
"1974",17,207
"1974",11,210
"1974",8,213
"1974",1,216
"1974",0,219
"1974",0,222
"1974",0,225
"1974",0,228
"1974",0,231
"1975",0,159
"1975",0,162
"1975",0,165
"1975",0,168
"1975",0,171
"1975",1,174
"1975",0,177
"1975",0,180
"1975",23,183
"1975",14,186
"1975",30,189
"1975",18,192
"1975",34,195
"1975",28,198
"1975",59,201
"1975",24,204
"1975",23,207
"1975",13,210
"1975",7,213
"1975",2,216
"1975",0,219
"1975",0,222
"1975",0,225
"1975",0,228
"1975",0,231
"1976",0,159
"1976",0,162
"1976",0,165
"1976",0,168
"1976",0,171
"1976",1,174
"1976",0,177
"1976",0,180
"1976",13,183
"1976",14,186
"1976",37,189
"1976",23,192
"1976",30,195
"1976",27,198
"1976",55,201
"1976",33,204
"1976",18,207
"1976",14,210
"1976",7,213
"1976",2,216
"1976",0,219
"1976",0,222
"1976",0,225
"1976",0,228
"1976",0,231
"1977",0,159
"1977",0,162
"1977",0,165
"1977",1,168
"1977",0,171
"1977",1,174
"1977",0,177
"1977",0,180
"1977",32,183
"1977",23,186
"1977",38,189
"1977",32,192
"1977",28,195
"1977",28,198
"1977",76,201
"1977",41,204
"1977",26,207
"1977",19,210
"1977",8,213
"1977",4,216
"1977",0,219
"1977",0,222
"1977",0,225
"1977",0,228
"1977",0,231
"1978",0,159
"1978",0,162
"1978",0,165
